id_group,time_bin,sum
1033717,2013-01-01 00:00:00,16
1033717,2014-01-01 00:00:00,2
10339292,2013-01-01 00:00:00,77
10339292,2014-01-01 00:00:00,175
10340292,2013-01-01 00:00:00,17
10340292,2014-01-01 00:00:00,11
10341102,2013-01-01 00:00:00,19
10341102,2014-01-01 00:00:00,37
10344232,2013-01-01 00:00:00,9
10344232,2014-01-01 00:00:00,33
10349132,2013-01-01 00:00:00,42
10349132,2014-01-01 00:00:00,156
10351672,2013-01-01 00:00:00,5
10351672,2014-01-01 00:00:00,20
1035628,2008-01-01 00:00:00,178
1035628,2009-01-01 00:00:00,439
1035628,2010-01-01 00:00:00,285
1035628,2011-01-01 00:00:00,782
1035628,2012-01-01 00:00:00,1660
1035628,2013-01-01 00:00:00,2325
1035628,2014-01-01 00:00:00,1264
10356912,2013-01-01 00:00:00,21
10356912,2014-01-01 00:00:00,15
10358012,2013-01-01 00:00:00,27
10358012,2014-01-01 00:00:00,9
10367332,2013-01-01 00:00:00,53
10367332,2014-01-01 00:00:00,76
10367452,2013-01-01 00:00:00,41
10367452,2014-01-01 00:00:00,194
10369042,2013-01-01 00:00:00,12
10369042,2014-01-01 00:00:00,4
10369122,2013-01-01 00:00:00,13
10369122,2014-01-01 00:00:00,7
10374812,2013-01-01 00:00:00,8
10375062,2013-01-01 00:00:00,1
10375062,2014-01-01 00:00:00,1
10379552,2014-01-01 00:00:00,10
1038638,2008-01-01 00:00:00,126
1038638,2009-01-01 00:00:00,174
1038638,2010-01-01 00:00:00,114
1038638,2011-01-01 00:00:00,113
1038638,2012-01-01 00:00:00,79
1038638,2013-01-01 00:00:00,40
1038638,2014-01-01 00:00:00,35
10392542,2013-01-01 00:00:00,9
10392542,2014-01-01 00:00:00,20
103986,2004-01-01 00:00:00,6
103986,2005-01-01 00:00:00,31
103986,2006-01-01 00:00:00,54
103986,2007-01-01 00:00:00,64
103986,2008-01-01 00:00:00,88
103986,2009-01-01 00:00:00,108
103986,2010-01-01 00:00:00,68
103986,2011-01-01 00:00:00,93
103986,2012-01-01 00:00:00,103
103986,2013-01-01 00:00:00,94
103986,2014-01-01 00:00:00,45
1040320,2008-01-01 00:00:00,53
1040320,2009-01-01 00:00:00,19
1040320,2010-01-01 00:00:00,34
1040320,2011-01-01 00:00:00,29
1040320,2012-01-01 00:00:00,157
1040320,2013-01-01 00:00:00,254
1040320,2014-01-01 00:00:00,218
10405372,2013-01-01 00:00:00,27
10405372,2014-01-01 00:00:00,123
10412082,2013-01-01 00:00:00,9
10412082,2014-01-01 00:00:00,30
10412602,2013-01-01 00:00:00,7
10412602,2014-01-01 00:00:00,1
10412772,2013-01-01 00:00:00,51
1041402,2008-01-01 00:00:00,51
1041402,2009-01-01 00:00:00,67
1041402,2010-01-01 00:00:00,53
1041402,2011-01-01 00:00:00,54
1041402,2012-01-01 00:00:00,64
1041402,2013-01-01 00:00:00,43
1041402,2014-01-01 00:00:00,34
10414102,2013-01-01 00:00:00,3
1041504,2008-01-01 00:00:00,352
1041504,2009-01-01 00:00:00,579
1041504,2010-01-01 00:00:00,631
1041504,2011-01-01 00:00:00,511
1041504,2012-01-01 00:00:00,1028
1041504,2013-01-01 00:00:00,829
1041504,2014-01-01 00:00:00,698
10419312,2013-01-01 00:00:00,29
10419312,2014-01-01 00:00:00,288
10422752,2013-01-01 00:00:00,2
10434632,2014-01-01 00:00:00,32
1043505,2008-01-01 00:00:00,211
1043505,2009-01-01 00:00:00,325
1043505,2010-01-01 00:00:00,727
1043505,2011-01-01 00:00:00,1007
1043505,2012-01-01 00:00:00,2053
1043505,2013-01-01 00:00:00,1679
1043505,2014-01-01 00:00:00,1508
1044036,2008-01-01 00:00:00,20
1044036,2009-01-01 00:00:00,11
1044036,2010-01-01 00:00:00,10
1044036,2011-01-01 00:00:00,4
